CP, 84, 2012060500, 03, IVCN,  36,   0N,    0W,  55,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, IVCN,  48,   0N,    0W,  50,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, IVCN,  60,   0N,    0W,  44,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, IVCN,  72,   0N,    0W,  36,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, IVCN,  84,   0N,    0W,  29,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, IVCN,  96,   0N,    0W,  21,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, LBAR,   0, 211N, 1501W, 105,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, LBAR,  12, 217N, 1513W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, LBAR,  24, 227N, 1530W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, LBAR,  36, 237N, 1550W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, LBAR,  48, 251N, 1573W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, LBAR,  60, 271N, 1596W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, LBAR,  72, 298N, 1604W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, LBAR,  84, 342N, 1581W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, LBAR,  96, 401N, 1531W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, LBAR, 108, 441N, 1454W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, LBAR, 120, 421N, 1375W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, LGEM,   0, 211N, 1501W, 105,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, LGEM,  12, 220N, 1529W,  88,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, LGEM,  24, 227N, 1558W,  72,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, LGEM,  36, 232N, 1588W,  61,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, LGEM,  48, 238N, 1616W,  54,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, LGEM,  60, 245N, 1642W,  48,    0,   ,   0,    ,    0,    0,    0,    0, 
