IO, 01, 2021051406, 03, NVGM, 078, 198N,  692E, 103,  969, XX,  34, NEQ, 0191, 0186, 0143, 0080,    0,    0, 020
IO, 01, 2021051406, 03, NVGM, 078, 198N,  692E, 103,  969, XX,  50, NEQ, 0093, 0080, 0108, 0104,    0,    0, 020
IO, 01, 2021051406, 03, NVGM, 078, 198N,  692E, 103,  969, XX,  64, NEQ, 0063, 0057, 0120, 0074,    0,    0, 020
IO, 01, 2021051406, 03, NVGM, 084, 204N,  688E,  98,  971, XX,  34, NEQ, 0192, 0212, 0151, 0136,    0,    0, 015
IO, 01, 2021051406, 03, NVGM, 084, 204N,  688E,  98,  971, XX,  50, NEQ, 0079, 0080, 0082, 0098,    0,    0, 015
IO, 01, 2021051406, 03, NVGM, 084, 204N,  688E,  98,  971, XX,  64, NEQ, 0058, 0052, 0086, 0064,    0,    0, 015
IO, 01, 2021051406, 03, NVGM, 090, 210N,  685E,  99,  968, XX,  34, NEQ, 0085, 0186, 0174, 0195,    0,    0, 028
IO, 01, 2021051406, 03, NVGM, 090, 210N,  685E,  99,  968, XX,  50, NEQ, 0069, 0082, 0114, 0127,    0,    0, 028
IO, 01, 2021051406, 03, NVGM, 090, 210N,  685E,  99,  968, XX,  64, NEQ, 0055, 0054, 0062, 0067,    0,    0, 028
IO, 01, 2021051406, 03, NVGM, 096, 216N,  683E,  93,  971, XX,  34, NEQ, 0091, 0130, 0158, 0095,    0,    0, 028
IO, 01, 2021051406, 03, NVGM, 096, 216N,  683E,  93,  971, XX,  50, NEQ, 0064, 0077, 0076, 0134,    0,    0, 028
IO, 01, 2021051406, 03, NVGM, 096, 216N,  683E,  93,  971, XX,  64, NEQ, 0050, 0049, 0067, 0099,    0,    0, 028
IO, 01, 2021051406, 03, NVGM, 102, 223N,  682E,  87,  969, XX,  34, NEQ, 0097, 0156, 0144, 0113,    0,    0, 023
IO, 01, 2021051406, 03, NVGM, 102, 223N,  682E,  87,  969, XX,  50, NEQ, 0071, 0071, 0101, 0084,    0,    0, 023
IO, 01, 2021051406, 03, NVGM, 102, 223N,  682E,  87,  969, XX,  64, NEQ, 0050, 0049, 0099, 0046,    0,    0, 023
IO, 01, 2021051406, 03, NVGM, 108, 229N,  682E,  81,  973, XX,  34, NEQ, 0092, 0115, 0127, 0127,    0,    0, 034
IO, 01, 2021051406, 03, NVGM, 108, 229N,  682E,  81,  973, XX,  50, NEQ, 0065, 0066, 0070, 0036,    0,    0, 034
IO, 01, 2021051406, 03, NVGM, 108, 229N,  682E,  81,  973, XX,  64, NEQ, 0047, 0045, 0073, 0024,    0,    0, 034
IO, 01, 2021051406, 03, NVGM, 114, 237N,  683E,  70,  973, XX,  34, NEQ, 0092, 0112, 0117, 0079,    0,    0, 043
IO, 01, 2021051406, 03, NVGM, 114, 237N,  683E,  70,  973, XX,  50, NEQ, 0056, 0074, 0101, 0052,    0,    0, 043
IO, 01, 2021051406, 03, NVGM, 114, 237N,  683E,  70,  973, XX,  64, NEQ, 0025, 0000, 0056, 0028,    0,    0, 043
IO, 01, 2021051406, 03, NVGM, 120, 244N,  685E,  53,  979, XX,  34, NEQ, 0081, 0085, 0130, 0081,    0,    0, 027
