SH, 91, 2013011900, 03, NG05, 090, 162S, 1778W,   0, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG05, 096, 165S, 1781W,   0, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG05, 102, 167S, 1784W,   0,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG05, 108, 169S, 1788W,   0, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG05, 114, 170S, 1790W,   0,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG05, 120, 174S, 1792W,   0,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG05, 126, 177S, 1792W,   0,  995, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG05, 132, 179S, 1790W,   0,  995, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG05, 138, 182S, 1783W,   0,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG05, 144, 188S, 1775W,   0,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG06, 000, 133S, 1767E,  29, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG06, 006, 138S, 1776E,  41, 1000, XX,  34, NEQ, 0172, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG06, 012, 144S, 1787E,  22, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG06, 018, 142S, 1800E,  23, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG06, 024, 142S, 1782W,  27, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG06, 030, 141S, 1768W,  25, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG06, 036, 141S, 1751W,  25, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG06, 042, 141S, 1738W,  22, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG06, 048, 141S, 1728W,  23, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG06, 054, 140S, 1719W,  23, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG06, 060, 139S, 1712W,  24, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG06, 066, 139S, 1709W,  25, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG06, 072, 140S, 1706W,  27, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG06, 078, 143S, 1707W,  25, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG06, 084, 144S, 1708W,  28, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG06, 090, 149S, 1710W,   0, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG06, 096, 152S, 1712W,   0, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG06, 102, 156S, 1718W,   0,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG06, 108, 157S, 1724W,   0,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG06, 114, 157S, 1730W,   0,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG06, 120, 157S, 1735W,   0,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG06, 126, 155S, 1736W,   0,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG06, 132, 154S, 1737W,   0,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG06, 138, 153S, 1734W,   0,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
