SH, 07, 2016011500, 03, NVGM, 006, 148S, 1658W,  38,  995, XX,  34, NEQ, 0101, 0118, 0000, 0000,    0,    0, 084
SH, 07, 2016011500, 03, NVGM, 012, 150S, 1661W,  36,  993, XX,  34, NEQ, 0000, 0127, 0130, 0000,    0,    0, 094
SH, 07, 2016011500, 03, NVGM, 018, 149S, 1663W,  39,  991, XX,  34, NEQ, 0000, 0167, 0181, 0000,    0,    0, 109
SH, 07, 2016011500, 03, NVGM, 024, 147S, 1667W,  40,  989, XX,  34, NEQ, 0148, 0174, 0170, 0000,    0,    0, 091
SH, 07, 2016011500, 03, NVGM, 030, 146S, 1669W,  44,  987, XX,  34, NEQ, 0094, 0241, 0211, 0089,    0,    0, 083
SH, 07, 2016011500, 03, NVGM, 036, 146S, 1671W,  45,  985, XX,  34, NEQ, 0169, 0115, 0225, 0235,    0,    0, 091
SH, 07, 2016011500, 03, NVGM, 042, 148S, 1670W,  47,  983, XX,  34, NEQ, 0263, 0184, 0200, 0146,    0,    0, 092
SH, 07, 2016011500, 03, NVGM, 048, 152S, 1671W,  51,  981, XX,  34, NEQ, 0208, 0255, 0261, 0056,    0,    0, 082
SH, 07, 2016011500, 03, NVGM, 048, 152S, 1671W,  51,  981, XX,  50, NEQ, 0086, 0000, 0000, 0000,    0,    0, 082
SH, 07, 2016011500, 03, NVGM, 054, 157S, 1670W,  52,  979, XX,  34, NEQ, 0220, 0178, 0213, 0051,    0,    0, 092
SH, 07, 2016011500, 03, NVGM, 054, 157S, 1670W,  52,  979, XX,  50, NEQ, 0085, 0000, 0000, 0000,    0,    0, 092
SH, 07, 2016011500, 03, NVGM, 060, 162S, 1668W,  57,  977, XX,  34, NEQ, 0217, 0155, 0164, 0167,    0,    0, 085
SH, 07, 2016011500, 03, NVGM, 060, 162S, 1668W,  57,  977, XX,  50, NEQ, 0102, 0069, 0000, 0104,    0,    0, 085
SH, 07, 2016011500, 03, NVGM, 066, 169S, 1663W,  63,  975, XX,  34, NEQ, 0235, 0180, 0220, 0130,    0,    0, 070
SH, 07, 2016011500, 03, NVGM, 066, 169S, 1663W,  63,  975, XX,  50, NEQ, 0133, 0070, 0000, 0101,    0,    0, 070
SH, 07, 2016011500, 03, NVGM, 072, 177S, 1658W,  62,  972, XX,  34, NEQ, 0265, 0197, 0090, 0340,    0,    0, 062
SH, 07, 2016011500, 03, NVGM, 072, 177S, 1658W,  62,  972, XX,  50, NEQ, 0140, 0101, 0105, 0061,    0,    0, 062
